nome_tecnica,tempo_treino,tempo_teste,tempo_total,shape_treino,shape_teste
stride_hd_2,5.409130811691284,0.9885756969451904,6.397706508636475,"(50000, 768)","(10000, 768)"
stride_hd_4,4.77168607711792,0.9505937099456787,5.722279787063599,"(50000, 192)","(10000, 192)"
stride_hd_8,4.488098621368408,0.8987908363342285,5.386889457702637,"(50000, 48)","(10000, 48)"
stride_hd_16,4.425215244293213,0.8802981376647949,5.305513381958008,"(50000, 12)","(10000, 12)"
vlad,122.88146233558655,23.915586233139038,146.7970485687256,"(50000, 2048)","(10000, 2048)"
fisher_vector,54.97388672828674,9.433276176452637,64.40716290473938,"(50000, 4112)","(10000, 4112)"
resnet18,"(50000, 512)","(10000, 512)",62.73536229133606,12.180357933044434,74.9157202243805
resnet50,"(50000, 2048)","(10000, 2048)",115.70742797851562,23.013830423355103,138.72125840187073
convnext,"(50000, 768)","(10000, 768)",138.1785900592804,28.301880836486816,166.4804708957672
inception_v3,"(50000, 2048)","(10000, 2048)",165.69068956375122,33.348907709121704,199.03959727287292
vgg16,"(50000, 25088)","(10000, 25088)",228.13025999069214,45.12566900253296,273.2559289932251
