execucao,modelo_base,tupla,acuracia,precisao,recall,f1,tempo_treino,tempo_teste,tempo_total,tamanho
1,vlad,6,0.161,0.1909870837693776,0.16100000000000003,0.1542411896444269,32.03499794006348,42.53768873214722,74.5726866722107,20698246
2,vlad,6,0.1605,0.18574945778303673,0.1605,0.15184182582641995,32.235817193984985,42.927783250808716,75.1636004447937,20705938
3,vlad,6,0.1719,0.2028676347881381,0.1719,0.16279694627692773,32.30293560028076,42.93278527259827,75.23572087287903,20710294
4,vlad,6,0.1628,0.19404635724856595,0.1628,0.15501087006829511,31.89285182952881,42.7457377910614,74.63858962059021,20712094
5,vlad,6,0.1611,0.19812250700605302,0.1611,0.15550024201866156,31.88500738143921,42.35627865791321,74.24128603935242,20698378
6,vlad,6,0.1631,0.19531706734528603,0.16310000000000002,0.1559687754678041,31.757513761520386,42.33809447288513,74.09560823440552,20692222
7,vlad,6,0.1642,0.1978929266075014,0.16419999999999998,0.1576782430179413,32.06366729736328,43.047056913375854,75.11072421073914,20704450
8,vlad,6,0.1618,0.18828947584209435,0.1618,0.1542685349805048,31.831114530563354,42.77202486991882,74.60313940048218,20700034
9,vlad,6,0.1697,0.1965609847453427,0.16970000000000002,0.16080924515959635,31.994422674179077,42.65828061103821,74.65270328521729,20703334
10,vlad,6,0.1591,0.1884986616551892,0.1591,0.15169362902961742,31.98279094696045,42.67159605026245,74.6543869972229,20704762
1,vlad,8,0.1786,0.21195989632731158,0.1786,0.16479107118981742,32.29641580581665,33.65248775482178,65.94890356063843,36861958
2,vlad,8,0.1803,0.2174287587363449,0.1803,0.16671447792966024,32.36006283760071,33.51555323600769,65.8756160736084,36831154
3,vlad,8,0.1775,0.2122412850042755,0.1775,0.16245066504839029,32.293237924575806,33.568506479263306,65.86174440383911,36856378
4,vlad,8,0.1785,0.2106969406777573,0.1785,0.16388758771665496,32.02416491508484,33.12500023841858,65.14916515350342,36851926
5,vlad,8,0.1829,0.21113423245638416,0.1829,0.16860936295643808,32.00930857658386,33.05283832550049,65.06214690208435,36861442
6,vlad,8,0.1759,0.21260868585124265,0.1759,0.1631596174211282,31.98073148727417,33.17732381820679,65.15805530548096,36824770
7,vlad,8,0.1811,0.21621726728995658,0.18109999999999998,0.16780622711924087,31.898315906524658,33.058449029922485,64.95676493644714,36834730
8,vlad,8,0.1762,0.20536545979170473,0.1762,0.16135536658431013,32.00384306907654,33.27013540267944,65.27397847175598,36840034
9,vlad,8,0.175,0.20948962365910262,0.175,0.16128687849362694,31.941564798355103,32.96127963066101,64.90284442901611,36840046
10,vlad,8,0.1768,0.2112295749582495,0.17679999999999998,0.16417613973035888,31.898471117019653,33.01519799232483,64.91366910934448,36843718
1,vlad,12,0.2097,0.2526531806660507,0.2097,0.1890907915252567,32.6843843460083,28.55716061592102,61.24154496192932,90326914
2,vlad,12,0.2043,0.24152118342894474,0.20429999999999998,0.18148750594115842,32.599085330963135,28.541584253311157,61.14066958427429,90407074
3,vlad,12,0.2045,0.24505832469521566,0.2045,0.18374024114592774,32.620142698287964,28.55820393562317,61.17834663391113,90276898
4,vlad,12,0.1949,0.22644859664457168,0.19490000000000002,0.17301876829454935,32.44001078605652,28.37828040122986,60.81829118728638,90391798
5,vlad,12,0.1989,0.23152187132949703,0.1989,0.1775830365320553,32.31414079666138,28.216580390930176,60.53072118759155,90405514
6,vlad,12,0.2021,0.2376054646115588,0.2021,0.18001863372200697,32.406291007995605,28.261550664901733,60.66784167289734,90253858
7,vlad,12,0.2016,0.24100561192411737,0.2016,0.17986916604060482,32.37654399871826,28.331924200057983,60.708468198776245,90336706
8,vlad,12,0.2036,0.23596560959829,0.2036,0.1818719749765719,32.01050591468811,27.836012840270996,59.846518754959106,90314734
9,vlad,12,0.2016,0.2391610913456733,0.2016,0.1809135016712145,32.10133171081543,27.950257062911987,60.05158877372742,90342022
10,vlad,12,0.2069,0.24710626170708858,0.2069,0.18437369242576393,32.146974086761475,27.67070174217224,59.817675828933716,90380242
1,vlad,20,0.2273,0.24694334420978223,0.2273,0.21463225151683205,29.889336824417114,28.316274881362915,58.20561170578003,204907850
2,vlad,20,0.2285,0.24965021402789728,0.2285,0.21649533790853304,29.763726711273193,28.450584173202515,58.21431088447571,205000634
3,vlad,20,0.23,0.25169144717313985,0.22999999999999998,0.21766631370888145,30.164457082748413,29.375147819519043,59.539604902267456,205038278
4,vlad,20,0.224,0.24777961520363528,0.22399999999999998,0.21263852883046627,30.123109817504883,28.851635694503784,58.97474551200867,205031582
5,vlad,20,0.2285,0.25317166420300663,0.2285,0.2172708550762194,29.72239327430725,28.70345139503479,58.42584466934204,204890726
6,vlad,20,0.2253,0.24638088236362482,0.2253,0.21195483630431813,29.897399187088013,28.788755655288696,58.68615484237671,204901286
7,vlad,20,0.2304,0.253208789438654,0.2304,0.21804848760233558,29.796334981918335,28.563098430633545,58.35943341255188,205114946
8,vlad,20,0.2281,0.2526666041492656,0.22809999999999997,0.21745240095046361,29.7391676902771,28.531288623809814,58.270456314086914,204950318
9,vlad,20,0.231,0.2569291723550844,0.231,0.21896820116006505,29.566234588623047,28.40832757949829,57.97456216812134,204942074
10,vlad,20,0.2269,0.24633305375668443,0.22690000000000002,0.2137735760212272,29.607139348983765,28.175017833709717,57.78215718269348,205005614
1,vlad,32,0.2039,0.21024618932261446,0.20390000000000003,0.19368282923011831,25.39313793182373,19.17483353614807,44.5679714679718,242413534
2,vlad,32,0.2103,0.21120762390065612,0.2103,0.2014040439152131,25.415321826934814,19.242557525634766,44.65787935256958,242304394
3,vlad,32,0.2078,0.21281074057730862,0.20779999999999998,0.19858985512132257,25.379623651504517,19.05515742301941,44.434781074523926,242271022
4,vlad,32,0.2102,0.21344299861874122,0.2102,0.19789350789187946,25.32543444633484,19.091025590896606,44.416460037231445,242437282
5,vlad,32,0.2119,0.2140951982255685,0.21189999999999998,0.20102244914082767,25.35572075843811,19.4783194065094,44.83404016494751,242395690
6,vlad,32,0.2064,0.20926225631499823,0.2064,0.19728756512371054,25.42347025871277,19.1887686252594,44.61223888397217,242306686
7,vlad,32,0.2105,0.21311637761363214,0.2105,0.20180867870096933,25.407594442367554,19.232688665390015,44.64028310775757,242283994
8,vlad,32,0.2108,0.21485032017993388,0.21080000000000002,0.20073902033432084,25.376621961593628,19.182294368743896,44.558916330337524,242225866
9,vlad,32,0.2184,0.22253055188169082,0.2184,0.2082294996323998,25.464231252670288,19.321104288101196,44.785335540771484,242347078
10,vlad,32,0.2126,0.22230761085165662,0.21259999999999998,0.20114069933583778,25.39410638809204,19.170841455459595,44.564947843551636,242426302
1,vlad,64,0.1586,0.14704409324333906,0.1586,0.12719735456325917,20.103612899780273,11.752691745758057,31.85630464553833,151063134
2,vlad,64,0.1646,0.15380561044302635,0.1646,0.13237409664365313,20.0689115524292,11.650370597839355,31.719282150268555,151053210
3,vlad,64,0.1584,0.1476718763787914,0.15839999999999999,0.12654296538238946,20.052652835845947,11.709392070770264,31.76204490661621,151061874
4,vlad,64,0.1618,0.15305410552584128,0.1618,0.12908553804464182,20.071963787078857,11.765430450439453,31.83739423751831,151040178
5,vlad,64,0.1663,0.16095674133887156,0.1663,0.13593448503791422,20.087854385375977,11.738446950912476,31.826301336288452,151065378
6,vlad,64,0.166,0.15861195062613168,0.16599999999999998,0.13347800451803224,20.136281490325928,11.724416971206665,31.860698461532593,151075146
7,vlad,64,0.1589,0.15409977480332807,0.15889999999999999,0.1291415391702059,20.11802887916565,11.6695396900177,31.78756856918335,151053030
8,vlad,64,0.1663,0.16332684903405653,0.1663,0.13490058311614114,20.151469945907593,11.836413860321045,31.987883806228638,151085874
9,vlad,64,0.1625,0.14880780500529472,0.1625,0.12960363518655335,20.14546537399292,11.721181631088257,31.866647005081177,151045398
10,vlad,64,0.1587,0.15075864571969866,0.1587,0.12708861315542525,20.1071720123291,11.778777360916138,31.88594937324524,151056690
